Rank,District,State,Latitude,Longitude,Avg_Annual_Rainfall_mm,Avg_Slope_Degrees,risk_score,risk_tier
11,Imphal West,Manipur,24.7590802,93.8617365,1608.8,0.85,137,High
22,Cachar,Assam,24.75864,92.8816648,2855.3,1.7,126,High
31,West Garo Hills,Meghalaya,25.6065343,90.2038335,2247.0,5.3,117,High
34,East Khasi Hills,Meghalaya,25.4023736,91.8317178,2907.9,38.28,114,High
40,Kamrup,Assam,26.1468861,91.2227397,2804.0,2.19,108,High
45,Lawngtlai,Mizoram,22.3913377,92.7397189,2326.9,21.69,103,High
47,Hailakandi,Assam,24.5076094,92.6267589,2541.6,4.3,101,High
49,Goalpara,Assam,26.0491877,90.6001859,3055.8,1.15,99,High
55,Karbi Anglong,Assam,26.0712781,93.4552969,2681.5,13.22,93,High
56,Lohit,Arunachal Pradesh,28.0350162,96.1713515,3743.5,18.13,92,High
60,Kolasib,Mizoram,24.1905469,92.7136595,1978.4,20.96,88,High
63,Churachandpur,Manipur,24.3095833,93.675022,1363.6,6.86,85,Medium
64,East Garo Hills,Meghalaya,25.6184946,90.6342162,1952.8,3.99,84,Medium
66,West Khasi Hills,Meghalaya,25.5814429,91.0851094,2598.4,10.72,82,Medium
67,Ribhoi,Meghalaya,25.723641,92.0426339,2571.9,1.9,81,Medium
69,Jaintia Hills,Meghalaya,25.5,92.25,2151.7,3.85,79,Medium
71,Mamit,Mizoram,23.7564387,92.4515374,1790.6,7.52,77,Medium
73,Papum Pare,Arunachal Pradesh,27.2863667,93.6187716,3598.7,21.97,75,Medium
74,Tawang,Arunachal Pradesh,27.6689525,91.9860059,1349.0,19.38,74,Medium
75,West Tripura,Tripura,23.9153329,91.3879341,1935.4,2.1,73,Medium
76,North Tripura,Tripura,24.0921476,92.2451214,1929.5,4.45,72,Medium
78,East Siang,Arunachal Pradesh,28.0742219,95.4178149,3653.2,0.78,70,Medium
82,Serchhip,Mizoram,23.3052514,92.8455124,2202.3,28.47,66,Medium
83,North Cachar Hills,Assam,25.5,93.0,1680.7,14.64,65,Medium
84,Lower Subansiri,Arunachal Pradesh,27.6059753,93.8669707,4879.9,16.32,64,Medium
87,West Kameng,Arunachal Pradesh,27.2986936,92.4741211,4042.3,29.54,61,Medium
89,Phek,Nagaland,25.6700924,94.3843925,2235.9,27.62,59,Medium
90,South Garo Hills,Meghalaya,25.347969,90.5657773,3057.4,3.01,58,Medium
91,Changlang,Arunachal Pradesh,27.2698797,96.0602442,2791.5,18.61,57,Medium
93,Mon,Nagaland,26.666667,95.0,2673.7,16.79,55,Medium
94,Tuensang,Nagaland,26.2342107,94.741553,2556.6,19.28,54,Medium
95,Bongaigaon,Assam,26.348883,90.6291434,3753.4,0.97,53,Medium
96,Lower Dibang Valley,Arunachal Pradesh,28.2149563,95.878774,5772.5,25.57,52,Medium
97,Senapati,Manipur,25.3933697,94.1501773,1870.5,8.51,51,Medium
100,Tamenglong,Manipur,25.0648711,93.5465432,2606.0,3.89,48,Medium
101,East Kameng,Arunachal Pradesh,27.557781,93.0753012,3389.1,26.71,47,Medium
104,Upper Siang,Arunachal Pradesh,28.7312046,95.0377315,4547.6,28.84,44,Medium
105,Mokokchung,Nagaland,26.4795861,94.5105275,2835.1,12.0,43,Medium
106,Kohima,Nagaland,25.7169804,94.0982194,4235.6,14.83,42,Medium
108,West Siang,Arunachal Pradesh,28.1970922,94.48407,6456.5,29.39,40,Medium
110,Dhalai,Tripura,23.8253158,91.9732227,1849.4,7.38,38,Medium
112,Ukhrul,Manipur,25.3121261,94.4754982,1580.5,28.44,36,Low
113,Kurung Kumey,Arunachal Pradesh,27.9863677,93.1578347,4308.0,33.69,35,Low
115,Tirap,Arunachal Pradesh,27.030169,95.4979175,2632.8,11.69,33,Low
118,Champhai,Mizoram,23.5443743,93.3479506,1612.9,27.9,30,Low
120,Upper Subansiri,Arunachal Pradesh,28.2596054,94.0938106,3836.5,17.66,28,Low
122,Chandel,Manipur,24.1700959,94.0059673,1826.0,22.24,26,Low
125,Anjaw,Arunachal Pradesh,28.1553856,96.8407212,3688.9,22.45,23,Low
127,Dhubri,Assam,26.132275,90.1249962,3372.3,1.36,21,Low
130,South Tripura,Tripura,23.1708278,91.638817,2035.1,1.54,18,Low
135,Dibang Valley,Arunachal Pradesh,28.8291044,95.9554096,4242.4,17.66,13,Low
137,Karimganj,Assam,24.5828196,92.3725487,2596.0,7.3,11,Low
142,Imphal East,Manipur,24.8326698,94.0168859,1421.9,2.66,6,Low
143,Bishnupur,Manipur,24.5263926,93.800487,1459.5,0.33,5,Low
144,Zunheboto,Nagaland,26.0123803,94.5123719,2235.5,25.19,4,Low
145,Wokha,Nagaland,26.242251,94.1921153,2037.5,1.57,3,Low
