Rank,District,State
11,Imphal West,Manipur
22,Cachar,Assam
31,West Garo Hills,Meghalaya
34,East Khasi Hills,Meghalaya
40,Kamrup,Assam
45,Lawngtlai,Mizoram
47,Hailakandi,Assam
49,Goalpara,Assam
55,Karbi Anglong,Assam
56,Lohit,Arunachal Pradesh
60,Kolasib,Mizoram
63,Churachandpur,Manipur
64,East Garo Hills,Meghalaya
66,West Khasi Hills,Meghalaya
67,Ribhoi,Meghalaya
69,Jaintia Hills,Meghalaya
71,Mamit,Mizoram
73,Papum Pare,Arunachal Pradesh
74,Tawang,Arunachal Pradesh
75,West Tripura,Tripura
76,North Tripura,Tripura
78,East Siang,Arunachal Pradesh
82,Serchhip,Mizoram
83,North Cachar Hills,Assam
84,Lower Subansiri,Arunachal Pradesh
87,West Kameng,Arunachal Pradesh
89,Phek,Nagaland
90,South Garo Hills,Meghalaya
91,Changlang,Arunachal Pradesh
93,Mon,Nagaland
94,Tuensang,Nagaland
95,Bongaigaon,Assam
96,Lower Dibang Valley,Arunachal Pradesh
97,Senapati,Manipur
100,Tamenglong,Manipur
101,East Kameng,Arunachal Pradesh
104,Upper Siang,Arunachal Pradesh
105,Mokokchung,Nagaland
106,Kohima,Nagaland
108,West Siang,Arunachal Pradesh
110,Dhalai,Tripura
112,Ukhrul,Manipur
113,Kurung Kumey,Arunachal Pradesh
115,Tirap,Arunachal Pradesh
118,Champhai,Mizoram
120,Upper Subansiri,Arunachal Pradesh
122,Chandel,Manipur
125,Anjaw,Arunachal Pradesh
127,Dhubri,Assam
130,South Tripura,Tripura
135,Dibang Valley,Arunachal Pradesh
137,Karimganj,Assam
142,Imphal East,Manipur
143,Bishnupur,Manipur
144,Zunheboto,Nagaland
145,Wokha,Nagaland
